Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
1982,Japan,1,Aleutians,20510,"""Sablefish""",2.7,128000,302000
1982,Japan,2,Bering Sea,20510,"""Sablefish""",4.5,120000,283000
1982,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",8.55,155000,418000
1982,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",6.3,69000,199000
1982,Japan,6,West Yakutat,20510,"""Sablefish""",9.9,57000,149000
1982,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",9.45,85000,221000
1981,Japan,2,Bering Sea,20510,"""Sablefish""",3.6,92000,211000
1981,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",5.4,96000,244000
1981,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",,,682000
1981,Japan,6,West Yakutat,20510,"""Sablefish""",7.65,44000,114000
1981,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",5.4,51000,128000
1980,Japan,1,Aleutians,20510,"""Sablefish""",4.95,53000,131000
1980,Japan,2,Bering Sea,20510,"""Sablefish""",2.7,73000,167000
1980,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",4.5,82000,226000
1980,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",,,551000
1980,Japan,6,West Yakutat,20510,"""Sablefish""",5.85,33000,84000
1980,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",3.6,35000,96000
1979,Japan,2,Bering Sea,20510,"""Sablefish""",3.15,81000,203000
1979,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",6.3,108000,319000
1979,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",4.5,48000,139000
1979,Japan,6,West Yakutat,20510,"""Sablefish""",4.95,29000,92000
1979,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",4.05,37000,101000
